Contract name,Last trade date,Expiry date,Last price,Bid,Ask,Change,% change,Volume,Open interest,Implied volatility,Type,Strike Price
AAPL200529C00140000,2020-05-21 12:18PM EDT,2020-05-29,177.3,178.1,179.45,0,NA,1,1,308.40%,Call,140
AAPL200619C00140000,2020-05-08 3:43PM EDT,2020-06-19,169.94,178,179.85,0,NA,4,56,104.69%,Call,140
AAPL200717C00140000,2020-05-07 3:40PM EDT,2020-07-17,163.2,177.75,180,0,NA,2,0,113.72%,Call,140
AAPL200918C00140000,2020-04-01 3:23PM EDT,2020-09-18,103.8,147.7,150.75,0,NA,2,60,0.00%,Call,140
AAPL201016C00140000,2020-03-27 2:03PM EDT,2020-10-16,115.75,141.3,146,0,NA,1,2,0.00%,Call,140
AAPL201218C00140000,2020-03-18 12:06PM EDT,2020-12-18,114,140.7,142.65,0,NA,NA,0,0.00%,Call,140
AAPL210115C00140000,2020-05-22 2:20PM EDT,2021-01-15,179.16,178.95,181.2,-0.74,-0.41%,1,"2,150",55.36%,Call,140
AAPL210618C00140000,2020-05-18 9:39AM EDT,2021-06-18,172.5,179.35,182.1,0,NA,2,290,52.61%,Call,140
AAPL210917C00140000,2020-04-13 1:55PM EDT,2021-09-17,132.25,165.5,168.2,0,NA,2,15,0.00%,Call,140
AAPL220121C00140000,2020-05-18 10:52AM EDT,2022-01-21,177,179.4,183.4,0,NA,1,171,45.74%,Call,140
AAPL220617C00140000,2020-05-08 3:43PM EDT,2022-06-17,173,179.45,184,0,NA,6,58,42.37%,Call,140
AAPL200529P00140000,2020-04-22 10:12AM EDT,2020-05-29,0.24,0,0.01,0,NA,NA,6,190.63%,Put,140
AAPL200619P00140000,2020-05-19 12:51PM EDT,2020-06-19,0.02,0,0.13,0,NA,1,"2,802",111.72%,Put,140
AAPL200717P00140000,2020-05-22 2:40PM EDT,2020-07-17,0.07,0.05,0.11,-0.02,-22.22%,27,"1,254",79.88%,Put,140
AAPL200918P00140000,2020-05-22 9:33AM EDT,2020-09-18,0.57,0.42,0.58,0.07,+14.00%,40,"1,153",68.41%,Put,140
AAPL201016P00140000,2020-05-18 1:17PM EDT,2020-10-16,0.86,0.57,0.81,0,NA,2,258,64.55%,Put,140
AAPL201218P00140000,2020-05-14 10:38AM EDT,2020-12-18,1.98,1.23,1.41,0,NA,2,218,60.18%,Put,140
AAPL210115P00140000,2020-05-20 12:23PM EDT,2021-01-15,1.59,1.51,1.67,0,NA,4,"8,416",58.50%,Put,140
AAPL210618P00140000,2020-05-13 11:50AM EDT,2021-06-18,2.81,2.74,3.15,0,NA,13,"2,433",51.66%,Put,140
AAPL210917P00140000,2020-05-18 3:25PM EDT,2021-09-17,4.3,3.15,4.15,0,NA,5,306,50.39%,Put,140
AAPL220121P00140000,2020-05-18 3:38PM EDT,2022-01-21,4.8,4.05,5.15,0,NA,6,146,47.37%,Put,140
AAPL220617P00140000,2020-05-18 10:26AM EDT,2022-06-17,6.05,3.5,7.85,0,NA,1,33,47.77%,Put,140
AAPL200529C00160000,2020-04-21 10:01AM EDT,2020-05-29,113.01,155.8,160.35,0,NA,NA,0,309.03%,Call,160
AAPL200605C00160000,2020-05-06 2:10PM EDT,2020-06-05,141.75,158.1,159.6,0,NA,NA,1,185.16%,Call,160
AAPL200619C00160000,2020-05-22 3:50PM EDT,2020-06-19,157.47,158,159.85,-3.53,-2.19%,6,447,88.67%,Call,160
AAPL200717C00160000,2020-05-07 3:24PM EDT,2020-07-17,143.08,157.8,160.15,0,NA,20,6,67.97%,Call,160
AAPL200918C00160000,2020-03-20 2:53PM EDT,2020-09-18,92.03,121.9,126.05,0,NA,2,0,0.00%,Call,160
AAPL201016C00160000,2020-03-27 4:14AM EDT,2020-10-16,103.84,110,112.1,0,NA,3,NA,0.00%,Call,160
AAPL201218C00160000,2020-03-27 4:14AM EDT,2020-12-18,110,110.5,112.75,0,NA,2,1,0.00%,Call,160
AAPL210115C00160000,2020-05-22 3:55PM EDT,2021-01-15,160,159.65,161,1,+0.63%,4,"2,967",52.86%,Call,160
AAPL210618C00160000,2020-05-18 3:30PM EDT,2021-06-18,158.5,160.25,163.05,0,NA,6,979,48.04%,Call,160
AAPL210917C00160000,2020-05-08 10:39AM EDT,2021-09-17,150,160.8,163.85,0,NA,4,17,45.26%,Call,160
AAPL220121C00160000,2020-05-19 9:55AM EDT,2022-01-21,161.5,161.35,164.95,0,NA,1,308,42.54%,Call,160
AAPL220617C00160000,2020-05-20 3:12PM EDT,2022-06-17,164,162,166.5,0,NA,2,438,40.78%,Call,160
AAPL200529P00160000,2020-05-11 10:17AM EDT,2020-05-29,0.04,0,0.01,0,NA,7,22,162.50%,Put,160
AAPL200605P00160000,2020-05-19 3:43PM EDT,2020-06-05,0.04,0,0.1,0,NA,5,6,132.81%,Put,160
AAPL200619P00160000,2020-05-22 3:52PM EDT,2020-06-19,0.04,0.01,0.15,0.01,+33.33%,2,"6,767",96.68%,Put,160
