Contract name,Last trade date,Expiry date,Last price,Bid,Ask,Change,% change,Volume,Open interest,Implied volatility,Type,Strike Price
AAPL200717P00160000,2020-05-21 10:03AM EDT,2020-07-17,0.14,0.02,0.17,0,NA,1,"1,040",68.95%,Put,160
AAPL200918P00160000,2020-05-22 12:47PM EDT,2020-09-18,0.94,0.75,0.91,0.06,+6.82%,8,"2,806",63.04%,Put,160
AAPL201016P00160000,2020-05-20 1:13PM EDT,2020-10-16,1.07,0.96,1.16,0,NA,2,541,59.09%,Put,160
AAPL201218P00160000,2020-05-21 11:25AM EDT,2020-12-18,2.05,1.88,2.05,0,NA,22,332,55.52%,Put,160
AAPL210115P00160000,2020-05-21 11:56AM EDT,2021-01-15,2.41,2.22,2.37,0,NA,1,"5,245",53.85%,Put,160
AAPL210618P00160000,2020-05-21 10:30AM EDT,2021-06-18,4.35,3.9,4.35,0,NA,3,"2,568",48.63%,Put,160
AAPL210917P00160000,2020-05-13 3:23PM EDT,2021-09-17,6.37,4.65,5.75,0,NA,1,608,47.15%,Put,160
AAPL220121P00160000,2020-05-22 2:39PM EDT,2022-01-21,6.7,6.45,7,-0.2,-2.90%,5,486,44.39%,Put,160
AAPL220617P00160000,2020-05-21 2:23PM EDT,2022-06-17,8.77,7.3,10.2,0,NA,2,341,44.76%,Put,160
AAPL200529C00165000,2020-04-21 10:08AM EDT,2020-05-29,108.46,152.3,153.55,0,NA,2,0,0.00%,Call,165
AAPL200619C00165000,2020-05-22 9:53AM EDT,2020-06-19,152,153,154.85,3,+2.01%,2,34,85.16%,Call,165
AAPL200717C00165000,2020-05-08 1:12PM EDT,2020-07-17,143.56,152.85,155.15,0,NA,1,1,66.99%,Call,165
AAPL200918C00165000,2020-05-07 12:26PM EDT,2020-09-18,139.4,153.6,155.65,0,NA,42,79,59.25%,Call,165
AAPL201016C00165000,2020-04-16 3:01PM EDT,2020-10-16,121.1,143.1,145.4,0,NA,1,2,0.00%,Call,165
AAPL201218C00165000,2020-03-27 4:14AM EDT,2020-12-18,80.25,118.9,121.1,0,NA,NA,2,0.00%,Call,165
AAPL210115C00165000,2020-05-22 12:30PM EDT,2021-01-15,154.3,154.85,156.9,-0.6,-0.39%,1,"3,882",50.16%,Call,165
AAPL210618C00165000,2020-05-18 11:35AM EDT,2021-06-18,152.5,155.6,158.35,0,NA,8,"1,363",47.05%,Call,165
AAPL210917C00165000,2020-03-25 11:27AM EDT,2021-09-17,99,121.45,123.75,0,NA,8,3,0.00%,Call,165
AAPL220121C00165000,2020-05-20 3:58PM EDT,2022-01-21,158.76,156.9,160.45,0,NA,2,141,41.90%,Call,165
AAPL220617C00165000,2020-05-20 3:39PM EDT,2022-06-17,159.93,157.7,162,0,NA,2,52,40.05%,Call,165
AAPL200529P00165000,2020-05-15 11:01AM EDT,2020-05-29,0.05,0,0.01,0,NA,1,11,153.13%,Put,165
AAPL200612P00165000,2020-05-20 3:37PM EDT,2020-06-12,0.04,0,0.14,0,NA,5,10,106.25%,Put,165
AAPL200619P00165000,2020-05-22 2:23PM EDT,2020-06-19,0.05,0,0.1,0,NA,20,"3,131",88.28%,Put,165
AAPL200717P00165000,2020-05-22 2:43PM EDT,2020-07-17,0.17,0.13,0.2,0.01,+6.25%,156,975,70.51%,Put,165
AAPL200918P00165000,2020-05-22 12:08PM EDT,2020-09-18,1.05,0.66,0.97,0.07,+7.14%,10,"2,309",60.33%,Put,165
AAPL201016P00165000,2020-05-22 1:33PM EDT,2020-10-16,1.33,1.16,1.29,0.09,+7.26%,1,606,58.25%,Put,165
AAPL201218P00165000,2020-05-21 9:39AM EDT,2020-12-18,2.12,1.98,2.24,0,NA,1,175,54.15%,Put,165
AAPL210115P00165000,2020-05-22 12:19PM EDT,2021-01-15,2.7,2.32,2.87,0.02,+0.75%,2,"6,199",53.17%,Put,165
AAPL210618P00165000,2020-05-21 3:55PM EDT,2021-06-18,4.79,4.25,4.75,0,NA,4,518,47.87%,Put,165
AAPL210917P00165000,2020-05-20 3:33PM EDT,2021-09-17,5.9,5.1,6.2,0,NA,5,40,46.36%,Put,165
AAPL220121P00165000,2020-05-04 3:54PM EDT,2022-01-21,9.3,6.65,7.65,0,NA,141,618,43.90%,Put,165
AAPL220617P00165000,2020-05-07 12:52PM EDT,2022-06-17,10,7.25,11.2,0,NA,1,383,44.53%,Put,165
AAPL200529C00175000,2020-04-24 3:06PM EDT,2020-05-29,106.01,143.10,144.45,0,NA,1,0,231.64%,Call,175
AAPL200605C00175000,2020-05-19 12:38PM EDT,2020-06-05,142.03,NA,NA,0,NA,NA,NA,0.00%,Call,175
AAPL200619C00175000,2020-05-21 1:31PM EDT,2020-06-19,143.08,143.00,144.95,0,NA,1,180,85.35%,Call,175
AAPL200717C00175000,2020-05-08 12:04PM EDT,2020-07-17,133.3,142.90,145.20,0,NA,2,1,64.26%,Call,175
AAPL200918C00175000,2020-05-22 10:40AM EDT,2020-09-18,143.4,143.80,145.85,-0.68,-0.47%,20,465,56.79%,Call,175
AAPL201016C00175000,2020-03-05 12:03PM EDT,2020-10-16,124.99,71.60,75.40,0,NA,NA,2,0.00%,Call,175
AAPL201218C00175000,2020-05-15 3:08PM EDT,2020-12-18,133.65,144.95,146.95,0,NA,1,"1,099",54.24%,Call,175
AAPL210115C00175000,2020-05-15 3:30PM EDT,2021-01-15,135.5,145.30,147.25,0,NA,1,"2,358",52.08%,Call,175
AAPL210618C00175000,2020-05-19 10:41AM EDT,2021-06-18,146.5,146.45,149.20,0,NA,2,740,45.61%,Call,175
AAPL210917C00175000,2020-03-26 12:19PM EDT,2021-09-17,89.66,114.05,115.75,0,NA,10,6,0.00%,Call,175
AAPL220121C00175000,2020-05-18 11:27AM EDT,2022-01-21,145.8,148.25,151.60,0,NA,4,141,40.76%,Call,175
AAPL220617C00175000,2020-05-22 11:29AM EDT,2022-06-17,150,149.30,154.00,0.1,+0.07%,1,62,39.91%,Call,175
AAPL200529P00175000,2020-05-04 12:02PM EDT,2020-05-29,0.06,0,0.01,0,NA,1,246,140.63%,Put,175
AAPL200605P00175000,2020-04-30 9:54AM EDT,2020-06-05,0.16,0,0.11,0,NA,1,2,117.58%,Put,175
AAPL200619P00175000,2020-05-22 10:51AM EDT,2020-06-19,0.06,0.05,0.17,-0.02,-25.00%,2,"3,886",87.99%,Put,175
AAPL200717P00175000,2020-05-22 3:00PM EDT,2020-07-17,0.2,0.11,0.27,-0.07,-25.93%,402,"1,029",65.82%,Put,175
AAPL200918P00175000,2020-05-20 12:22PM EDT,2020-09-18,1.12,1.08,1.2,0,NA,3,"1,222",58.89%,Put,175
AAPL201016P00175000,2020-05-20 3:21PM EDT,2020-10-16,1.48,1.34,1.57,0,NA,58,350,55.43%,Put,175
AAPL201218P00175000,2020-05-20 10:52AM EDT,2020-12-18,2.6,2.47,2.7,0,NA,9,142,52.22%,Put,175
AAPL210115P00175000,2020-05-22 1:15PM EDT,2021-01-15,3.15,2.71,3.25,0.1,+3.28%,21,"4,861",50.66%,Put,175
AAPL210618P00175000,2020-05-21 3:54PM EDT,2021-06-18,5.4,5.05,5.6,0,NA,1,"1,893",46.33%,Put,175
AAPL210917P00175000,2020-05-14 11:15AM EDT,2021-09-17,8.42,6.4,7.25,0,NA,1,749,44.98%,Put,175
AAPL220121P00175000,2020-05-21 9:47AM EDT,2022-01-21,8.5,8.25,8.9,0,NA,1,814,42.69%,Put,175
AAPL220617P00175000,2020-05-21 9:53AM EDT,2022-06-17,10.67,9.95,12,0,NA,5,256,42.39%,Put,175
AAPL200529C00185000,2020-05-07 3:30PM EDT,2020-05-29,118.35,133.15,134.45,0,NA,7,0,212.50%,Call,185
AAPL200612C00185000,2020-05-14 10:31AM EDT,2020-06-12,117.6,133.05,134.85,0,NA,15,15,87.30%,Call,185
AAPL200619C00185000,2020-05-12 3:14PM EDT,2020-06-19,131.22,132.95,134.9,0,NA,25,342,71.09%,Call,185
AAPL200717C00185000,2020-05-06 2:56PM EDT,2020-07-17,117.38,133,135.3,0,NA,937,2,62.70%,Call,185
AAPL200918C00185000,2020-05-21 10:42AM EDT,2020-09-18,133.9,134.05,136.1,0,NA,7,"2,647",54.44%,Call,185
AAPL201016C00185000,2020-03-26 2:07PM EDT,2020-10-16,80.25,64.25,66.2,0,NA,3,2,0.00%,Call,185
AAPL201218C00185000,2020-05-18 9:53AM EDT,2020-12-18,129.63,135.4,137.4,0,NA,5,35,51.70%,Call,185
AAPL210115C00185000,2020-05-22 11:40AM EDT,2021-01-15,135.3,135.85,137.75,13.15,+10.77%,5,"3,251",49.73%,Call,185
AAPL210618C00185000,2020-05-13 1:19PM EDT,2021-06-18,126.94,137.4,140.1,0,NA,5,543,44.08%,Call,185
AAPL210917C00185000,2020-05-22 1:10PM EDT,2021-09-17,138.7,138.45,141.3,25.65,+22.69%,10,54,41.87%,Call,185
AAPL220121C00185000,2020-05-13 3:20PM EDT,2022-01-21,129,139.8,142.5,0,NA,2,270,39.10%,Call,185
AAPL220617C00185000,2020-04-29 3:10PM EDT,2022-06-17,114,141.3,145.25,0,NA,1,77,38.55%,Call,185
AAPL200529P00185000,2020-05-14 11:22AM EDT,2020-05-29,0.11,0,0.01,0,NA,3,143,128.13%,Put,185
AAPL200605P00185000,2020-05-15 2:55PM EDT,2020-06-05,0.08,0,0.12,0,NA,2,110,108.59%,Put,185
AAPL200612P00185000,2020-05-22 10:00AM EDT,2020-06-12,0.03,0,0.04,-0.01,-25.00%,1,77,78.91%,Put,185
AAPL200619P00185000,2020-05-21 1:22PM EDT,2020-06-19,0.1,0,0.14,0,NA,67,"3,943",76.56%,Put,185
AAPL200717P00185000,2020-05-20 2:41PM EDT,2020-07-17,0.34,0.14,0.35,0,NA,3,"1,127",62.26%,Put,185
AAPL200918P00185000,2020-05-22 10:45AM EDT,2020-09-18,1.58,1.36,1.46,0.04,+2.60%,132,"1,436",56.35%,Put,185
AAPL201016P00185000,2020-05-22 2:04PM EDT,2020-10-16,1.96,1.76,1.89,0.12,+6.52%,54,543,53.36%,Put,185
AAPL201218P00185000,2020-05-19 11:16AM EDT,2020-12-18,3.3,2.96,3.2,0,NA,4,385,50.12%,Put,185
AAPL210115P00185000,2020-05-21 1:37PM EDT,2021-01-15,3.8,3.15,3.65,0,NA,1,"3,994",49.07%,Put,185
AAPL210618P00185000,2020-05-19 9:46AM EDT,2021-06-18,6.9,5.95,6.5,0,NA,2,725,44.72%,Put,185
AAPL210917P00185000,2020-04-28 3:21PM EDT,2021-09-17,11.25,7.55,8.45,0,NA,1,91,43.70%,Put,185
AAPL220121P00185000,2020-05-20 3:55PM EDT,2022-01-21,9.95,9.8,10.35,0,NA,1,555,41.63%,Put,185
AAPL220617P00185000,2020-05-22 11:49AM EDT,2022-06-17,12.2,10.35,12.95,0.12,+0.99%,10,315,40.48%,Put,185
AAPL200529C00190000,2020-05-08 1:32PM EDT,2020-05-29,117.8,128.15,129.45,0,NA,2,0,203.22%,Call,190
AAPL200605C00190000,2020-05-07 11:15AM EDT,2020-06-05,113.01,128.1,129.65,0,NA,NA,6,145.17%,Call,190
AAPL200619C00190000,2020-05-20 11:13AM EDT,2020-06-19,129,127.95,129.95,0,NA,1,169,71.68%,Call,190
AAPL200717C00190000,2020-05-12 9:30AM EDT,2020-07-17,128.15,128.05,130.3,0,NA,10,73,60.64%,Call,190
AAPL200918C00190000,2020-05-18 11:39AM EDT,2020-09-18,125.57,129.2,131.25,0,NA,5,"1,060",53.35%,Call,190
AAPL201016C00190000,2020-05-19 10:58AM EDT,2020-10-16,129.88,129.7,131.7,0,NA,20,24,50.99%,Call,190
AAPL201218C00190000,2020-04-27 3:09PM EDT,2020-12-18,97.01,130.7,132.6,0,NA,1,13,50.31%,Call,190
AAPL210115C00190000,2020-05-22 3:42PM EDT,2021-01-15,130.5,131.2,133.1,-0.38,-0.29%,1,"7,452",48.82%,Call,190
AAPL210618C00190000,2020-05-13 1:10PM EDT,2021-06-18,122.1,132.95,135.7,0,NA,81,732,43.56%,Call,190
AAPL210917C00190000,2020-05-15 10:33AM EDT,2021-09-17,124.02,134.1,137.05,0,NA,1,97,41.51%,Call,190
AAPL220121C00190000,2020-05-20 2:25PM EDT,2022-01-21,136.38,135.65,138.65,0,NA,5,480,39.22%,Call,190
AAPL220617C00190000,2020-05-19 11:54AM EDT,2022-06-17,138.3,137.4,141.05,0,NA,1,225,38.05%,Call,190
AAPL200529P00190000,2020-05-21 10:36AM EDT,2020-05-29,0.01,0,0.02,0,NA,4,198,129.69%,Put,190
AAPL200605P00190000,2020-05-06 1:22PM EDT,2020-06-05,0.09,0,0.12,0,NA,10,11,103.52%,Put,190
AAPL200612P00190000,2020-05-22 3:59PM EDT,2020-06-12,0.05,0,0.05,-0.03,-37.50%,48,163,76.56%,Put,190
AAPL200619P00190000,2020-05-22 2:18PM EDT,2020-06-19,0.11,0.08,0.13,-0.02,-15.38%,23,"7,943",76.37%,Put,190
AAPL200626P00190000,2020-05-21 12:55PM EDT,2020-06-26,0.2,0,0.22,0,NA,1,16,68.46%,Put,190
AAPL200717P00190000,2020-05-22 10:53AM EDT,2020-07-17,0.4,0.27,0.4,-0.01,-2.44%,1,"1,489",62.11%,Put,190
AAPL200918P00190000,2020-05-22 10:45AM EDT,2020-09-18,1.74,1.51,1.61,0.13,+8.07%,114,"2,346",55.05%,Put,190
AAPL201016P00190000,2020-05-21 12:30PM EDT,2020-10-16,2.16,1.78,2.08,0,NA,51,219,51.73%,Put,190
AAPL201218P00190000,2020-05-21 11:55AM EDT,2020-12-18,3.55,3.2,3.5,0,NA,1,274,49.61%,Put,190
AAPL210115P00190000,2020-05-20 11:25AM EDT,2021-01-15,3.9,3.45,4.05,0,NA,17,"8,084",48.36%,Put,190
AAPL210618P00190000,2020-05-20 11:45AM EDT,2021-06-18,7,6.5,7.05,0,NA,2,853,44.06%,Put,190
AAPL210917P00190000,2020-05-08 3:01PM EDT,2021-09-17,9.12,8.2,9.1,0,NA,10,66,43.07%,Put,190
AAPL220121P00190000,2020-05-20 9:30AM EDT,2022-01-21,10.5,10.6,11.15,0,NA,40,654,41.13%,Put,190
AAPL220617P00190000,2020-05-21 2:51PM EDT,2022-06-17,13.5,11.1,13.95,0,NA,5,134,40.11%,Put,190
AAPL200529C00195000,2020-05-07 3:30PM EDT,2020-05-29,108.28,123.1,124.45,0,NA,NA,0,194.24%,Call,195
AAPL200605C00195000,2020-04-30 12:08PM EDT,2020-06-05,94.63,123.1,124.7,0,NA,NA,1,82.81%,Call,195
AAPL200619C00195000,2020-05-20 3:20PM EDT,2020-06-19,124,122.9,125.05,0,NA,1,77,71.09%,Call,195
AAPL200717C00195000,2020-05-19 12:26PM EDT,2020-07-17,122.46,123.15,125.4,0,NA,1,19,60.50%,Call,195
AAPL200918C00195000,2020-05-13 12:14PM EDT,2020-09-18,113.4,124.4,126.4,0,NA,15,510,52.31%,Call,195
AAPL201016C00195000,2020-05-04 10:46AM EDT,2020-10-16,98.65,124.9,126.85,0,NA,2,3,54.57%,Call,195
AAPL201218C00195000,2020-05-07 10:15AM EDT,2020-12-18,111.28,126,127.9,0,NA,1,33,49.23%,Call,195
AAPL210115C00195000,2020-05-20 9:32AM EDT,2021-01-15,126.12,126.55,128.45,0,NA,20,"2,052",47.85%,Call,195
AAPL210618C00195000,2020-05-19 9:31AM EDT,2021-06-18,127.45,128.5,131.25,0,NA,25,456,42.87%,Call,195
AAPL210917C00195000,2020-05-19 9:31AM EDT,2021-09-17,128.65,129.9,132.7,0,NA,15,65,40.92%,Call,195
AAPL220121C00195000,2020-05-18 11:05AM EDT,2022-01-21,129,131.45,134.35,0,NA,9,117,38.65%,Call,195
AAPL220617C00195000,2020-05-22 10:27AM EDT,2022-06-17,133.71,133.35,136.95,8.51,+6.80%,3,116,37.62%,Call,195
AAPL200529P00195000,2020-05-19 3:08PM EDT,2020-05-29,0.02,0,0.19,0,NA,2,436,152.93%,Put,195
AAPL200605P00195000,2020-05-15 11:15AM EDT,2020-06-05,0.1,0,0.06,0,NA,1,47,92.19%,Put,195
AAPL200612P00195000,2020-05-21 11:10AM EDT,2020-06-12,0.1,0.04,0.17,0,NA,1,114,84.77%,Put,195
AAPL200619P00195000,2020-05-22 2:22PM EDT,2020-06-19,0.12,0.1,0.15,-0.02,-14.29%,5,"4,834",74.41%,Put,195
AAPL200626P00195000,2020-05-18 12:13AM EDT,2020-06-26,0.47,0,0.24,0,NA,NA,42,66.02%,Put,195
AAPL200717P00195000,2020-05-22 1:35PM EDT,2020-07-17,0.4,0.33,0.45,-0.1,-20.00%,1,"1,072",60.69%,Put,195
AAPL200918P00195000,2020-05-21 2:09PM EDT,2020-09-18,1.88,1.56,1.79,0,NA,62,937,53.47%,Put,195
AAPL201016P00195000,2020-05-22 1:05PM EDT,2020-10-16,2.4,1.94,2.35,0,NA,16,691,50.68%,Put,195
AAPL201218P00195000,2020-05-22 10:25AM EDT,2020-12-18,3.95,3.55,3.8,0.06,+1.54%,7,403,48.58%,Put,195
AAPL210115P00195000,2020-05-21 12:48PM EDT,2021-01-15,4.5,3.8,4.4,0,NA,30,"9,336",47.42%,Put,195
AAPL210618P00195000,2020-05-21 1:50PM EDT,2021-06-18,7.68,7.1,7.65,0,NA,1,577,43.43%,Put,195
AAPL210917P00195000,2020-05-20 12:44PM EDT,2021-09-17,9.5,9,9.8,0,NA,1,99,42.47%,Put,195
AAPL220121P00195000,2020-05-22 11:13AM EDT,2022-01-21,11.75,11.1,12,0.5,+4.44%,10,994,40.66%,Put,195
AAPL220617P00195000,2020-05-21 2:40PM EDT,2022-06-17,14.5,12.4,16.15,0,NA,4,88,40.95%,Put,195
AAPL200529C00200000,2020-05-22 2:01PM EDT,2020-05-29,118,118.1,119.45,1.65,+1.42%,10,12,185.35%,Call,200
AAPL200605C00200000,2020-05-07 11:15AM EDT,2020-06-05,102.99,118.05,119.7,0,NA,21,21,133.98%,Call,200
AAPL200612C00200000,2020-05-18 3:57PM EDT,2020-06-12,114.92,118,119.9,0,NA,37,44,75.78%,Call,200
AAPL200619C00200000,2020-05-22 3:57PM EDT,2020-06-19,118.8,117.85,119.95,-1.2,-1.00%,6,"1,978",54.69%,Call,200
AAPL200626C00200000,2020-05-22 12:13PM EDT,2020-06-26,117.3,117.85,120.25,0.6,+0.51%,1,0,65.04%,Call,200
AAPL200717C00200000,2020-05-18 9:30AM EDT,2020-07-17,113.87,118.2,120.4,0,NA,4,102,58.25%,Call,200
AAPL200918C00200000,2020-05-22 12:22PM EDT,2020-09-18,119.13,119.55,121.5,0.13,+0.11%,6,"1,975",50.84%,Call,200
AAPL201016C00200000,2020-05-22 1:51PM EDT,2020-10-16,120.05,120.1,122.05,-0.75,-0.62%,40,62,53.10%,Call,200
AAPL201218C00200000,2020-05-20 1:02PM EDT,2020-12-18,121.99,121.35,123.25,0,NA,21,191,48.25%,Call,200
AAPL210115C00200000,2020-05-22 2:55PM EDT,2021-01-15,122.1,121.9,123.65,-0.35,-0.29%,6,"10,782",46.42%,Call,200
AAPL210618C00200000,2020-05-21 3:49PM EDT,2021-06-18,124.4,124.2,126.9,0,NA,2,"2,240",42.30%,Call,200
AAPL210917C00200000,2020-05-22 12:45PM EDT,2021-09-17,126.15,125.65,128.05,-0.36,-0.28%,10,598,39.85%,Call,200
AAPL220121C00200000,2020-05-22 3:14PM EDT,2022-01-21,128,127.35,129.4,-0.75,-0.58%,17,"1,373",37.22%,Call,200
AAPL220617C00200000,2020-05-22 2:26PM EDT,2022-06-17,131.25,129.3,132,0.07,+0.05%,10,"1,314",36.26%,Call,200
AAPL200529P00200000,2020-05-22 11:37AM EDT,2020-05-29,0.01,0,0.11,0,NA,85,641,137.50%,Put,200
AAPL200605P00200000,2020-05-22 2:22PM EDT,2020-06-05,0.03,0,0.06,-0.04,-57.14%,1,914,87.50%,Put,200
AAPL200612P00200000,2020-05-21 2:32PM EDT,2020-06-12,0.12,0.02,0.18,0,NA,1,284,80.27%,Put,200
AAPL200619P00200000,2020-05-22 2:34PM EDT,2020-06-19,0.15,0.1,0.17,-0.03,-16.67%,60,"15,154",71.58%,Put,200
AAPL200626P00200000,2020-05-22 10:23AM EDT,2020-06-26,0.24,0.15,0.27,0.02,+9.09%,1,80,67.48%,Put,200
AAPL200717P00200000,2020-05-22 3:56PM EDT,2020-07-17,0.48,0.42,0.48,-0.07,-12.73%,32,"3,526",59.18%,Put,200
AAPL200918P00200000,2020-05-22 3:54PM EDT,2020-09-18,1.93,1.8,2.05,-0.17,-8.10%,175,"9,589",52.67%,Put,200
AAPL201016P00200000,2020-05-22 2:16PM EDT,2020-10-16,2.56,2.13,2.68,-0.14,-5.19%,5,953,51.05%,Put,200
AAPL201218P00200000,2020-05-22 3:15PM EDT,2020-12-18,4.1,4,4.15,-0.13,-3.07%,13,"1,777",47.64%,Put,200
AAPL210115P00200000,2020-05-22 3:44PM EDT,2021-01-15,4.61,4.2,4.7,-0.31,-6.30%,923,"10,616",46.29%,Put,200
AAPL210618P00200000,2020-05-22 2:41PM EDT,2021-06-18,8.1,8,8.25,-0.3,-3.57%,2,"2,047",42.75%,Put,200
AAPL210917P00200000,2020-05-21 1:00PM EDT,2021-09-17,10.4,9.65,10.45,0,NA,1,789,41.76%,Put,200
AAPL220121P00200000,2020-05-22 2:13PM EDT,2022-01-21,12.5,12.3,12.9,-0.25,-1.96%,3,"2,636",40.20%,Put,200
AAPL220617P00200000,2020-05-21 9:40AM EDT,2022-06-17,15.64,14.45,17.15,0,NA,5,698,40.45%,Put,200
AAPL200529C00205000,2020-05-07 3:33PM EDT,2020-05-29,98.11,113.1,114.45,0,NA,NA,0,176.76%,Call,205
AAPL200605C00205000,2020-05-13 3:50PM EDT,2020-06-05,102.35,113.05,114.75,0,NA,5,7,75.00%,Call,205
AAPL200619C00205000,2020-05-21 12:23PM EDT,2020-06-19,112.57,112.9,115.2,0,NA,1,39,69.53%,Call,205
AAPL200717C00205000,2020-05-08 9:38AM EDT,2020-07-17,100.91,113.3,115.55,0,NA,3,157,57.91%,Call,205
AAPL200918C00205000,2020-05-19 3:59PM EDT,2020-09-18,110.5,114.75,116.7,0,NA,1,542,54.90%,Call,205
AAPL210115C00205000,2020-05-22 3:01PM EDT,2021-01-15,117.56,117.35,119.3,0.63,+0.54%,2,"2,909",46.14%,Call,205
AAPL210618C00205000,2020-05-15 3:03PM EDT,2021-06-18,110.9,119.9,121.9,0,NA,1,990,40.60%,Call,205
AAPL220121C00205000,2020-05-22 1:21PM EDT,2022-01-21,124,123.3,126.3,-1.2,-0.96%,2,394,38.05%,Call,205
AAPL200529P00205000,2020-05-20 12:09PM EDT,2020-05-29,0.04,0,0.07,0,NA,1,446,125.00%,Put,205
AAPL200605P00205000,2020-05-21 1:01PM EDT,2020-06-05,0.06,0.01,0.1,0,NA,1,171,88.67%,Put,205
